training_id,brand,model,cc,weight_kg,fuel_type,riding_style,avg_speed_kmh,rider_weight,city_percentage,route_id,origin_id,destination_id,distance_km,duration_min,elevation_gain_m,min_elevation_m,max_elevation_m,temperature_c,humidity_percent,rain_mm,fuel_consumption_kml
189,Honda,Beat CBS,110,89,Pertalite,Normal,39,88,58,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,46.3
190,Yamaha,Fazzio,125,95,Pertalite,Normal,36,65,49,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,47.4
191,Benelli,Panarea125,125,107,Pertamax,Santai,48,82,78,1,80,99,6.058,10.91,129.3,237.0,300.5,33.4,35,0.0,46.6
192,TVS,Ntorq125,125,118,Pertamax,Normal,63,59,35,2,66,69,5.352,8.54,88.0,200.0,240.0,33.4,35,0.0,44.5
193,Suzuki,Nex II,115,93,Pertamax,Normal,49,86,81,3,80,16,5.515,10.8,138.4,238.0,290.0,33.4,35,0.0,47.3
194,Benelli,Panarea125,125,107,Pertalite,Normal,36,83,68,4,91,16,4.215,6.97,95.9,237.0,294.0,33.4,35,0.0,45.9
195,Kawasaki,KLX150,150,118,Pertamax,Normal,58,52,38,5,13,68,4.275,7.21,98.7,247.0,310.0,33.4,35,0.0,40.9
196,Kawasaki,KLX150,150,118,Pertamax,Normal,43,74,54,6,8,99,4.74,5.68,128.1,273.0,310.0,33.4,35,0.0,43.1
197,Benelli,Panarea125,125,107,Pertalite,Normal,40,91,31,7,27,87,7.841,14.55,98.9,210.19,291.0,33.0,35,0.0,47.4
198,Yamaha,NMAX155,155,132,Pertamax,Agresif,67,66,77,8,33,58,4.351,5.08,48.6,196.0,235.0,31.8,40,0.0,34.1
199,Suzuki,Nex II,115,93,Pertalite,Normal,36,80,43,9,17,35,1.984,5.61,26.1,250.0,267.0,33.4,35,0.0,46.6
200,Benelli,Panarea125,125,107,Pertalite,Santai,41,75,60,10,69,81,5.615,9.01,141.9,211.51,271.0,33.4,35,0.0,48.1
